date,type,category,description,amount,memo
2025-01-02,지출,저축/투자,펀드 투자,-542738,
2025-01-02,지출,문화/여가,OTT 구독,-22038,
2025-01-04,수입,기타수입,환급금,405037,메모_53
2025-01-10,지출,식비,점심식사,-48870,현금
2025-01-13,지출,쇼핑,가전제품,-420195,현금
2025-01-13,지출,주거,수도세,-202103,
2025-01-21,지출,주거,수도세,-195868,
2025-01-23,지출,문화/여가,스포츠센터,-88507,
2025-01-28,지출,문화/여가,공연 티켓,-88606,메모_89
2025-01-31,지출,여행,숙박비,-1277935,현금
2025-02-05,지출,식비,점심식사,-7067,
2025-02-05,지출,쇼핑,가전제품,-16633,메모_70
2025-02-11,수입,급여,월급,4995758,현금
2025-02-11,지출,문화/여가,영화관,-77350,
2025-02-16,지출,식비,중식당,-37663,
2025-02-17,지출,쇼핑,신발 구입,-435600,카드결제
2025-02-18,지출,쇼핑,생활용품,-358708,
2025-02-19,지출,여행,숙박비,-384508,메모_163
2025-02-20,수입,급여,프리랜서 수입,3385103,현금
2025-02-21,지출,교육,온라인 강의,-66093,메모_131
2025-02-22,수입,기타수입,환급금,256099,메모_90
2025-02-24,지출,문화/여가,스포츠센터,-40697,카드결제
2025-02-24,지출,쇼핑,가전제품,-343229,현금
2025-02-25,지출,식비,점심식사,-64694,
2025-02-28,수입,급여,이자 수입,4303844,
2025-03-04,지출,저축/투자,적금 납입,-888141,현금
2025-03-04,지출,주거,수도세,-56972,카드결제
2025-03-06,지출,의료,한의원,-22985,
2025-03-09,지출,통신,케이블TV,-62823,메모_152
2025-03-13,지출,식비,한식당,-42893,
2025-03-16,지출,저축/투자,주식 매수,-582929,
2025-03-17,지출,식비,분식집,-16970,
2025-03-18,수입,기타수입,중고 판매,54659,
2025-03-20,지출,여행,숙박비,-1464108,카드결제
2025-03-20,지출,교육,학원비,-120394,
2025-03-23,지출,교육,교재 구입,-521932,
2025-03-23,지출,식비,분식집,-75384,
2025-03-26,지출,저축/투자,주식 매수,-835339,
2025-03-27,지출,교통,택시,-44430,
2025-03-31,지출,여행,여행 경비,-867258,카드결제
2025-04-01,수입,기타수입,용돈,36328,
2025-04-02,지출,여행,숙박비,-365463,
2025-04-08,수입,기타수입,용돈,58063,
2025-04-12,수입,기타수입,중고 판매,65917,메모_145
2025-04-18,지출,의료,치과,-185223,카드결제
2025-04-20,지출,문화/여가,영화관,-50745,
2025-04-22,지출,의료,병원 진료,-100075,현금
2025-04-23,지출,교육,자격증 시험,-80434,
2025-04-26,수입,급여,월급,4435452,현금
2025-04-29,지출,의료,병원 진료,-87719,현금
2025-04-29,지출,통신,인터넷 요금,-112141,
2025-05-04,지출,교육,자격증 시험,-301997,현금
2025-05-05,지출,저축/투자,주식 매수,-689979,메모_75
2025-05-08,지출,쇼핑,화장품,-419005,메모_17
2025-05-16,지출,저축/투자,펀드 투자,-505673,현금
2025-05-16,지출,주거,관리비,-89584,메모_176
2025-05-17,지출,통신,케이블TV,-77424,메모_116
2025-05-20,수입,기타수입,환급금,489224,
2025-05-21,지출,통신,인터넷 요금,-50735,
2025-05-23,지출,주거,관리비,-162262,메모_60
2025-05-25,수입,급여,보너스,3742547,
2025-05-28,지출,문화/여가,음악 스트리밍,-14681,
2025-05-31,지출,저축/투자,적금 납입,-501096,현금
2025-06-01,지출,의료,안과,-115217,현금
2025-06-03,지출,주거,가스비,-201013,현금
2025-06-03,수입,급여,월급,3860525,
2025-06-05,지출,주거,가스비,-198951,메모_34
2025-06-09,지출,저축/투자,적금 납입,-582060,
2025-06-11,지출,교통,고속도로 통행료,-107452,카드결제
2025-06-13,수입,급여,보너스,3080382,
2025-06-14,지출,교통,택시,-34580,카드결제
2025-06-19,수입,급여,보너스,3595615,카드결제
2025-06-19,지출,주거,전기세,-62645,메모_51
2025-06-19,지출,교육,교재 구입,-334076,
2025-06-20,지출,여행,숙박비,-891066,
2025-06-21,지출,의료,치과,-181369,
2025-06-22,지출,쇼핑,가전제품,-105336,
2025-06-23,지출,주거,수도세,-72108,현금
2025-06-24,지출,식비,한식당,-36092,
2025-07-01,지출,쇼핑,화장품,-156621,현금
2025-07-03,지출,문화/여가,OTT 구독,-37007,메모_139
2025-07-06,수입,급여,보너스,4000760,현금
2025-07-08,지출,쇼핑,가전제품,-41745,
2025-07-08,지출,통신,휴대폰 요금,-95248,메모_193
2025-07-09,지출,교육,학원비,-367212,현금
2025-07-09,지출,여행,여행 경비,-978972,현금
2025-07-10,지출,의료,병원 진료,-128594,카드결제
2025-07-14,지출,교육,교재 구입,-392722,메모_59
2025-07-16,지출,의료,안과,-21837,메모_50
2025-07-19,수입,급여,이자 수입,4914620,메모_52
2025-07-23,수입,급여,보너스,2818752,
2025-07-27,지출,통신,케이블TV,-107026,
2025-07-28,수입,기타수입,용돈,27152,
2025-07-29,지출,교통,택시,-43659,메모_111
2025-07-31,지출,교육,자격증 시험,-468098,현금
2025-08-01,수입,기타수입,환급금,137785,카드결제
2025-08-03,지출,문화/여가,스포츠센터,-53503,현금
2025-08-07,지출,교육,학원비,-515108,
2025-08-08,지출,교육,학원비,-240556,
2025-08-08,지출,저축/투자,주식 매수,-113156,현금
2025-08-12,지출,교육,자격증 시험,-145674,
2025-08-13,지출,통신,인터넷 요금,-111715,
2025-08-15,지출,여행,여행 경비,-1092343,
2025-08-18,지출,여행,항공권,-1345007,메모_177
2025-08-21,지출,통신,인터넷 요금,-96619,현금
2025-08-23,지출,저축/투자,적금 납입,-154837,카드결제
2025-08-25,지출,교육,학원비,-317729,메모_142
2025-08-29,지출,교육,온라인 강의,-341668,카드결제
2025-08-31,지출,쇼핑,온라인쇼핑,-233086,카드결제
2025-09-05,지출,저축/투자,주식 매수,-847135,카드결제
2025-09-08,지출,식비,분식집,-15097,
2025-09-08,수입,기타수입,환급금,292371,
2025-09-14,지출,교육,학원비,-134349,메모_106
2025-09-15,수입,기타수입,중고 판매,465973,메모_130
2025-09-15,지출,저축/투자,주식 매수,-95471,현금
2025-09-23,지출,교육,학원비,-513513,
2025-09-24,지출,식비,한식당,-10972,메모_179
2025-09-29,수입,기타수입,환급금,405968,카드결제
2025-10-02,수입,급여,보너스,3303381,현금
2025-10-03,지출,여행,항공권,-1365112,메모_54
2025-10-13,지출,저축/투자,주식 매수,-675084,
2025-10-13,지출,통신,휴대폰 요금,-23794,
2025-10-17,지출,문화/여가,도서 구입,-27280,
2025-10-20,지출,통신,인터넷 요금,-111655,
2025-10-22,지출,주거,가스비,-289196,
2025-10-23,지출,식비,편의점,-60154,카드결제
2025-10-24,지출,통신,케이블TV,-95470,메모_66
2025-10-26,지출,주거,관리비,-96818,
2025-10-28,지출,주거,가스비,-161123,
2025-10-28,지출,의료,약국,-91129,카드결제
2025-10-31,지출,의료,치과,-27718,메모_74
2025-11-07,수입,급여,프리랜서 수입,3297471,현금
2025-11-09,수입,급여,이자 수입,4410153,현금
2025-11-09,수입,급여,보너스,4587367,
2025-11-14,지출,의료,약국,-47598,메모_18
2025-11-15,지출,주거,관리비,-44209,현금
2025-11-21,지출,쇼핑,화장품,-209703,카드결제
2025-11-21,수입,급여,보너스,4725005,메모_198
2025-11-25,지출,식비,배달음식,-9629,
2025-11-27,지출,교육,교재 구입,-84985,현금
2025-11-28,지출,통신,휴대폰 요금,-38643,
2025-11-28,지출,교육,자격증 시험,-366869,
2025-12-03,지출,교통,고속도로 통행료,-93280,카드결제
2025-12-04,지출,여행,여행 경비,-1492202,카드결제
2025-12-07,수입,기타수입,중고 판매,357806,현금
2025-12-09,지출,의료,안과,-74629,
2025-12-09,지출,주거,가스비,-116530,
2025-12-09,지출,의료,치과,-126905,
2025-12-10,지출,교육,학원비,-381535,
2025-12-12,수입,급여,월급,3630411,
2025-12-17,수입,급여,이자 수입,2879078,
2025-12-18,지출,통신,케이블TV,-101927,현금
2025-12-22,지출,주거,가스비,-49239,
2025-12-23,지출,저축/투자,적금 납입,-894657,카드결제
2025-12-26,지출,쇼핑,옷 구입,-194037,
2025-12-31,지출,식비,저녁외식,-15196,
2026-01-08,지출,주거,가스비,-81915,카드결제
2026-01-12,지출,통신,휴대폰 요금,-23390,
2026-01-15,지출,주거,관리비,-35069,
2026-01-18,수입,급여,월급,4464324,
2026-01-19,수입,기타수입,용돈,222900,
2026-01-22,지출,문화/여가,영화관,-87345,현금
2026-01-22,수입,기타수입,용돈,453413,
2026-01-25,지출,교통,버스,-117807,현금
2026-01-31,지출,여행,여행 경비,-938186,카드결제
2026-02-02,지출,교육,교재 구입,-514226,카드결제
2026-02-03,지출,식비,저녁외식,-68107,
2026-02-05,지출,여행,여행 경비,-998373,
2026-02-07,지출,저축/투자,적금 납입,-586265,메모_27
2026-02-09,지출,저축/투자,적금 납입,-389498,
2026-02-13,지출,식비,편의점,-20275,
2026-02-16,수입,기타수입,용돈,70175,
2026-02-17,지출,의료,안과,-100478,
2026-02-17,지출,식비,점심식사,-9057,메모_38
2026-02-18,수입,기타수입,환급금,253727,현금
2026-02-20,지출,문화/여가,영화관,-69923,
2026-02-22,지출,여행,여행 경비,-994940,메모_45
2026-02-23,지출,교통,택시,-36703,
2026-02-23,수입,기타수입,중고 판매,170007,
2026-02-25,지출,교육,학원비,-127680,
2026-02-25,지출,통신,케이블TV,-96931,현금
2026-02-27,수입,기타수입,중고 판매,226660,
2026-03-01,지출,통신,케이블TV,-21061,현금
2026-03-03,지출,통신,케이블TV,-86698,
2026-03-06,지출,문화/여가,도서 구입,-36266,메모_63
2026-03-07,지출,여행,여행 경비,-1116273,
2026-03-09,지출,저축/투자,주식 매수,-693378,현금
2026-03-11,지출,문화/여가,음악 스트리밍,-110043,현금
2026-03-15,지출,식비,한식당,-44704,현금
2026-03-16,지출,쇼핑,온라인쇼핑,-338623,메모_134
2026-03-18,지출,교통,주유비,-66043,카드결제
2026-03-19,지출,의료,약국,-74941,현금
2026-03-19,지출,주거,인터넷 설치,-208192,
2026-03-22,지출,의료,안과,-154893,
